Match Number,Round Number,Home Team,Away Team,Result,Winner,Home Team Goals,Away Team Goals,Match Goals,Home Team Name,Away Team Name,Home is Winner,Goal Difference,Home Goals Ratio,Away Goals Ratio,Home Team Evaluation,Away Team Evaluation,Penalties,Penalties Winner
112,8,24,1,1 - 3,2,1,3,4,Besiktas,Bayern München,0,-2,0.25,0.75,19.0,29.0,0,
111,8,2,8,3 - 0,3,3,0,3,FC Barcelona,Chelsea,1,3,1.0,0.0,25.0,18.0,0,
113,9,9,1,1 - 2,2,1,2,3,Sevilla,Bayern München,0,-1,0.3333333333333333,0.6666666666666666,21.0,29.0,0,
114,9,5,0,0 - 3,1,0,3,3,Juventus,Real Madrid,0,-3,0.0,1.0,23.0,32.0,0,
115,9,4,3,3 - 0,5,3,0,3,Liverpool,Manchester City,1,3,1.0,0.0,30.0,22.0,0,
116,9,2,13,4 - 1,3,4,1,5,FC Barcelona,AS Roma,1,3,0.8,0.2,25.0,25.0,0,
117,10,3,4,1 - 2,5,1,2,3,Manchester City,Liverpool,0,-1,0.3333333333333333,0.6666666666666666,22.0,30.0,0,
118,10,13,2,3 - 0,14,3,0,3,AS Roma,FC Barcelona,1,3,1.0,0.0,25.0,25.0,0,
119,10,1,9,0 - 0,10,0,0,0,Bayern München,Sevilla,0,0,,,29.0,21.0,1,10.0
120,10,0,5,1 - 3,6,1,3,4,Real Madrid,Juventus,0,-2,0.25,0.75,32.0,23.0,0,
121,11,4,13,5 - 2,5,5,2,7,Liverpool,AS Roma,1,3,0.7142857142857143,0.2857142857142857,30.0,25.0,0,
122,11,1,0,1 - 2,1,1,2,3,Bayern München,Real Madrid,0,-1,0.3333333333333333,0.6666666666666666,29.0,32.0,0,
123,12,0,1,2 - 2,2,2,2,4,Real Madrid,Bayern München,0,0,0.5,0.5,32.0,29.0,0,
124,12,13,4,4 - 2,14,4,2,6,AS Roma,Liverpool,1,2,0.6666666666666666,0.3333333333333333,25.0,30.0,0,
125,13,0,4,3 - 1,1,3,1,4,Real Madrid,Liverpool,1,2,0.75,0.25,32.0,30.0,0,
