Match Number,Round Number,Home Team,Away Team,Result,Winner,Home Team Goals,Away Team Goals,Match Goals
53,4.0,Tottenham Hotspur,PSV Eindhoven,2 - 1,Tottenham Hotspur,2,1,3
54,4.0,Napoli,Paris Saint-Germain,1 - 1,Paris Saint-Germain,1,1,2
55,4.0,Schalke 04,Galatasaray,2 - 0,Schalke 04,2,0,2
56,4.0,FC Porto,Lokomotiv Moscow,4 - 1,FC Porto,4,1,5
57,4.0,CSKA Moscow,AS Roma,1 - 2,AS Roma,1,2,3
58,4.0,Valencia,Young Boys,3 - 1,Valencia,3,1,4
59,4.0,Benfica,Ajax,1 - 1,Ajax,1,1,2
60,4.0,Bayern München,AEK Athens,2 - 0,Bayern München,2,0,2
61,4.0,Manchester City,Shakhtar Donetsk,6 - 0,Manchester City,6,0,6
62,4.0,Olympique Lyon,1899 Hoffenheim,2 - 2,1899 Hoffenheim,2,2,4
63,4.0,Viktoria Plzen,Real Madrid,0 - 5,Real Madrid,0,5,5
64,4.0,Juventus,Manchester United,1 - 2,Manchester United,1,2,3
65,5.0,AEK Athens,Ajax,0 - 2,Ajax,0,2,2
66,5.0,CSKA Moscow,Viktoria Plzen,1 - 2,Viktoria Plzen,1,2,3
67,5.0,Bayern München,Benfica,5 - 1,Bayern München,5,1,6
68,5.0,Olympique Lyon,Manchester City,2 - 2,Manchester City,2,2,4
69,5.0,1899 Hoffenheim,Shakhtar Donetsk,2 - 3,Shakhtar Donetsk,2,3,5
70,5.0,AS Roma,Real Madrid,0 - 2,Real Madrid,0,2,2
71,5.0,Juventus,Valencia,1 - 0,Juventus,1,0,1
72,5.0,Manchester United,Young Boys,1 - 0,Manchester United,1,0,1
73,5.0,Atlético Madrid,AS Monaco,2 - 0,Atlético Madrid,2,0,2
74,5.0,Lokomotiv Moscow,Galatasaray,2 - 0,Lokomotiv Moscow,2,0,2
75,5.0,Borussia Dortmund,Club Brugge,0 - 0,Club Brugge,0,0,0
76,5.0,Tottenham Hotspur,Internazionale,1 - 0,Tottenham Hotspur,1,0,1
77,5.0,PSV Eindhoven,FC Barcelona,1 - 2,FC Barcelona,1,2,3
78,5.0,Napoli,Crvena zvezda,3 - 1,Napoli,3,1,4
79,5.0,Paris Saint-Germain,Liverpool,2 - 1,Paris Saint-Germain,2,1,3
80,5.0,FC Porto,Schalke 04,3 - 1,FC Porto,3,1,4
81,6.0,Schalke 04,Lokomotiv Moscow,1 - 0,Schalke 04,1,0,1
82,6.0,Galatasaray,FC Porto,2 - 3,FC Porto,2,3,5
83,6.0,AS Monaco,Borussia Dortmund,0 - 2,Borussia Dortmund,0,2,2
84,6.0,Club Brugge,Atlético Madrid,0 - 0,Atlético Madrid,0,0,0
85,6.0,Internazionale,PSV Eindhoven,1 - 1,PSV Eindhoven,1,1,2
86,6.0,FC Barcelona,Tottenham Hotspur,1 - 1,Tottenham Hotspur,1,1,2
87,6.0,Crvena zvezda,Paris Saint-Germain,1 - 4,Paris Saint-Germain,1,4,5
88,6.0,Liverpool,Napoli,1 - 0,Liverpool,1,0,1
89,6.0,Viktoria Plzen,AS Roma,2 - 1,Viktoria Plzen,2,1,3
90,6.0,Real Madrid,CSKA Moscow,0 - 3,CSKA Moscow,0,3,3
91,6.0,Benfica,AEK Athens,1 - 0,Benfica,1,0,1
92,6.0,Ajax,Bayern München,3 - 3,Bayern München,3,3,6
93,6.0,Manchester City,1899 Hoffenheim,2 - 1,Manchester City,2,1,3
94,6.0,Shakhtar Donetsk,Olympique Lyon,1 - 1,Olympique Lyon,1,1,2
95,6.0,Valencia,Manchester United,2 - 1,Valencia,2,1,3
96,6.0,Young Boys,Juventus,2 - 1,Young Boys,2,1,3
97,7.0,AS Roma,FC Porto,2 - 1,AS Roma,2,1,3
98,7.0,Manchester United,Paris Saint-Germain,0 - 2,Paris Saint-Germain,0,2,2
99,7.0,Tottenham Hotspur,Borussia Dortmund,3 - 0,Tottenham Hotspur,3,0,3
100,7.0,Ajax,Real Madrid,1 - 2,Real Madrid,1,2,3
101,7.0,Olympique Lyon,FC Barcelona,0 - 0,FC Barcelona,0,0,0
102,7.0,Liverpool,Bayern München,0 - 0,Bayern München,0,0,0
103,7.0,Atlético Madrid,Juventus,2 - 0,Atlético Madrid,2,0,2
104,7.0,Schalke 04,Manchester City,2 - 3,Manchester City,2,3,5
105,8.0,Borussia Dortmund,Tottenham Hotspur,0 - 1,Tottenham Hotspur,0,1,1
106,8.0,Real Madrid,Ajax,1 - 4,Ajax,1,4,5
107,8.0,Paris Saint-Germain,Manchester United,1 - 3,Manchester United,1,3,4
108,8.0,FC Porto,AS Roma,3 - 1,FC Porto,3,1,4
109,8.0,Juventus,Atlético Madrid,3 - 0,Juventus,3,0,3
110,8.0,Manchester City,Schalke 04,7 - 0,Manchester City,7,0,7
111,8.0,FC Barcelona,Olympique Lyon,5 - 1,FC Barcelona,5,1,6
112,8.0,Bayern München,Liverpool,1 - 3,Liverpool,1,3,4
113,9.0,Tottenham Hotspur,Manchester City,1 - 0,Tottenham Hotspur,1,0,1
114,9.0,Liverpool,FC Porto,2 - 0,Liverpool,2,0,2
115,9.0,Manchester United,FC Barcelona,0 - 1,FC Barcelona,0,1,1
116,9.0,Ajax,Juventus,1 - 1,Juventus,1,1,2
117,10.0,Juventus,Ajax,1 - 2,Ajax,1,2,3
118,10.0,FC Barcelona,Manchester United,3 - 0,FC Barcelona,3,0,3
119,10.0,FC Porto,Liverpool,1 - 4,Liverpool,1,4,5
120,10.0,Manchester City,Tottenham Hotspur,4 - 3,Manchester City,4,3,7
121,11.0,Tottenham Hotspur,Ajax,0 - 1,Ajax,0,1,1
122,11.0,FC Barcelona,Liverpool,3 - 0,FC Barcelona,3,0,3
123,12.0,Liverpool,FC Barcelona,4 - 0,Liverpool,4,0,4
124,12.0,Ajax,Tottenham Hotspur,2 - 3,Tottenham Hotspur,2,3,5
125,13.0,Tottenham Hotspur,Liverpool,0 - 2,Liverpool,0,2,2
