Match Number,Round Number,Home Team,Away Team,Result,Winner,Home Team Goals,Away Team Goals,Match Goals,Home Team Name,Away Team Name,Home is Winner,Goal Difference,Home Goals Ratio,Away Goals Ratio
1,1,30,31,1 - 2,31,1,2,3,Zenit St. Petersburg,Club Brugge,0,-1,0.3333333333333333,0.6666666666666666
2,1,33,6,0 - 2,6,0,2,2,Dynamo Kyiv,Juventus,0,-2,0.0,1.0
3,1,65,70,1 - 1,70,1,1,2,Stade Rennais,FK Krasnodar,0,0,0.5,0.5
4,1,9,10,0 - 0,10,0,0,0,Chelsea,Sevilla,0,0,,
5,1,34,13,3 - 1,34,3,1,4,Lazio,Borussia Dortmund,1,2,0.75,0.25
6,1,3,84,5 - 1,3,5,1,6,FC Barcelona,Ferencváros,1,4,0.8333333333333334,0.16666666666666666
7,1,8,11,1 - 2,11,1,2,3,Paris Saint-Germain,Manchester United,0,-1,0.3333333333333333,0.6666666666666666
8,1,24,82,2 - 0,24,2,0,2,RB Leipzig,Istanbul Basaksehir,1,2,1.0,0.0
9,1,28,74,2 - 2,74,2,2,4,FC Salzburg,Lokomotiv Moscow,0,0,0.5,0.5
10,1,1,21,2 - 3,21,2,3,5,Real Madrid,Shakhtar Donetsk,0,-1,0.4,0.6
11,1,2,7,4 - 0,2,4,0,4,Bayern München,Atlético Madrid,1,4,1.0,0.0
12,1,18,68,2 - 2,68,2,2,4,Internazionale,Borussia Mönchengladbach,0,0,0.5,0.5
13,1,41,42,1 - 0,41,1,0,1,Olympiakos Piraeus,Olympique Marseille,1,1,1.0,0.0
14,1,4,12,3 - 1,4,3,1,4,Manchester City,FC Porto,1,2,0.75,0.25
15,1,17,5,0 - 1,5,0,1,1,Ajax,Liverpool,0,-1,0.0,1.0
16,1,81,504,0 - 4,504,0,4,4,FC Midtjylland,Atlantas Klaipeda,0,-4,0.0,1.0
17,2,74,2,1 - 2,2,1,2,3,Lokomotiv Moscow,Bayern München,0,-1,0.3333333333333333,0.6666666666666666
18,2,21,18,0 - 0,18,0,0,0,Shakhtar Donetsk,Internazionale,0,0,,
19,2,7,28,3 - 2,7,3,2,5,Atlético Madrid,FC Salzburg,1,1,0.6,0.4
20,2,68,1,2 - 2,1,2,2,4,Borussia Mönchengladbach,Real Madrid,0,0,0.5,0.5
21,2,12,41,2 - 0,12,2,0,2,FC Porto,Olympiakos Piraeus,1,2,1.0,0.0
22,2,42,4,0 - 3,4,0,3,3,Olympique Marseille,Manchester City,0,-3,0.0,1.0
23,2,504,17,2 - 2,17,2,2,4,Atlantas Klaipeda,Ajax,0,0,0.5,0.5
24,2,5,81,2 - 0,5,2,0,2,Liverpool,FC Midtjylland,1,2,1.0,0.0
25,2,70,9,0 - 4,9,0,4,4,FK Krasnodar,Chelsea,0,-4,0.0,1.0
26,2,82,8,0 - 2,8,0,2,2,Istanbul Basaksehir,Paris Saint-Germain,0,-2,0.0,1.0
27,2,10,65,1 - 0,10,1,0,1,Sevilla,Stade Rennais,1,1,1.0,0.0
28,2,31,34,1 - 1,34,1,1,2,Club Brugge,Lazio,0,0,0.5,0.5
29,2,13,30,2 - 0,13,2,0,2,Borussia Dortmund,Zenit St. Petersburg,1,2,1.0,0.0
30,2,84,33,2 - 2,33,2,2,4,Ferencváros,Dynamo Kyiv,0,0,0.5,0.5
31,2,6,3,0 - 2,3,0,2,2,Juventus,FC Barcelona,0,-2,0.0,1.0
32,2,11,24,5 - 0,11,5,0,5,Manchester United,RB Leipzig,1,5,1.0,0.0
33,3,74,7,1 - 1,7,1,1,2,Lokomotiv Moscow,Atlético Madrid,0,0,0.5,0.5
34,3,21,68,0 - 6,68,0,6,6,Shakhtar Donetsk,Borussia Mönchengladbach,0,-6,0.0,1.0
35,3,28,2,2 - 6,2,2,6,8,FC Salzburg,Bayern München,0,-4,0.25,0.75
36,3,1,18,3 - 2,1,3,2,5,Real Madrid,Internazionale,1,1,0.6,0.4
37,3,4,41,3 - 0,4,3,0,3,Manchester City,Olympiakos Piraeus,1,3,1.0,0.0
38,3,12,42,3 - 0,12,3,0,3,FC Porto,Olympique Marseille,1,3,1.0,0.0
39,3,81,17,1 - 2,17,1,2,3,FC Midtjylland,Ajax,0,-1,0.3333333333333333,0.6666666666666666
40,3,504,5,0 - 5,5,0,5,5,Atlantas Klaipeda,Liverpool,0,-5,0.0,1.0
41,3,30,34,1 - 1,34,1,1,2,Zenit St. Petersburg,Lazio,0,0,0.5,0.5
42,3,82,11,2 - 1,82,2,1,3,Istanbul Basaksehir,Manchester United,1,1,0.6666666666666666,0.3333333333333333
43,3,9,65,3 - 0,9,3,0,3,Chelsea,Stade Rennais,1,3,1.0,0.0
44,3,10,70,3 - 2,10,3,2,5,Sevilla,FK Krasnodar,1,1,0.6,0.4
45,3,31,13,0 - 3,13,0,3,3,Club Brugge,Borussia Dortmund,0,-3,0.0,1.0
46,3,3,33,2 - 1,3,2,1,3,FC Barcelona,Dynamo Kyiv,1,1,0.6666666666666666,0.3333333333333333
47,3,84,6,1 - 4,6,1,4,5,Ferencváros,Juventus,0,-3,0.2,0.8
48,3,24,8,2 - 1,24,2,1,3,RB Leipzig,Paris Saint-Germain,1,1,0.6666666666666666,0.3333333333333333
49,4,65,9,1 - 2,9,1,2,3,Stade Rennais,Chelsea,0,-1,0.3333333333333333,0.6666666666666666
50,4,70,10,1 - 2,10,1,2,3,FK Krasnodar,Sevilla,0,-1,0.3333333333333333,0.6666666666666666
51,4,34,30,3 - 1,34,3,1,4,Lazio,Zenit St. Petersburg,1,2,0.75,0.25
52,4,13,31,3 - 0,13,3,0,3,Borussia Dortmund,Club Brugge,1,3,1.0,0.0
53,4,33,3,0 - 4,3,0,4,4,Dynamo Kyiv,FC Barcelona,0,-4,0.0,1.0
54,4,6,84,2 - 1,6,2,1,3,Juventus,Ferencváros,1,1,0.6666666666666666,0.3333333333333333
55,4,8,24,1 - 0,8,1,0,1,Paris Saint-Germain,RB Leipzig,1,1,1.0,0.0
56,4,11,82,4 - 1,11,4,1,5,Manchester United,Istanbul Basaksehir,1,3,0.8,0.2
57,4,68,21,4 - 0,68,4,0,4,Borussia Mönchengladbach,Shakhtar Donetsk,1,4,1.0,0.0
58,4,41,4,0 - 1,4,0,1,1,Olympiakos Piraeus,Manchester City,0,-1,0.0,1.0
59,4,2,28,3 - 1,2,3,1,4,Bayern München,FC Salzburg,1,2,0.75,0.25
60,4,7,74,0 - 0,74,0,0,0,Atlético Madrid,Lokomotiv Moscow,0,0,,
61,4,18,1,0 - 2,1,0,2,2,Internazionale,Real Madrid,0,-2,0.0,1.0
62,4,42,12,0 - 2,12,0,2,2,Olympique Marseille,FC Porto,0,-2,0.0,1.0
63,4,17,81,3 - 1,17,3,1,4,Ajax,FC Midtjylland,1,2,0.75,0.25
64,4,5,504,0 - 2,504,0,2,2,Liverpool,Atlantas Klaipeda,0,-2,0.0,1.0
65,5,74,28,1 - 3,28,1,3,4,Lokomotiv Moscow,FC Salzburg,0,-2,0.25,0.75
