Match Number,Round Number,Home Team,Away Team,Result,Winner,Home Team Goals,Away Team Goals,Match Goals,Home Team Name,Away Team Name,Home is Winner,Goal Difference,Home Goals Ratio,Away Goals Ratio
66,5,21,1,2 - 0,21,2,0,2,Shakhtar Donetsk,Real Madrid,1,2,1.0,0.0
67,5,7,2,1 - 1,2,1,1,2,Atlético Madrid,Bayern München,0,0,0.5,0.5
68,5,68,18,2 - 3,18,2,3,5,Borussia Mönchengladbach,Internazionale,0,-1,0.4,0.6
69,5,42,41,2 - 1,42,2,1,3,Olympique Marseille,Olympiakos Piraeus,1,1,0.6666666666666666,0.3333333333333333
70,5,12,4,0 - 0,4,0,0,0,FC Porto,Manchester City,0,0,,
71,5,5,17,1 - 0,5,1,0,1,Liverpool,Ajax,1,1,1.0,0.0
72,5,504,81,1 - 1,81,1,1,2,Atlantas Klaipeda,FC Midtjylland,0,0,0.5,0.5
73,5,70,65,1 - 0,70,1,0,1,FK Krasnodar,Stade Rennais,1,1,1.0,0.0
74,5,82,24,3 - 4,24,3,4,7,Istanbul Basaksehir,RB Leipzig,0,-1,0.42857142857142855,0.5714285714285714
75,5,10,9,0 - 4,9,0,4,4,Sevilla,Chelsea,0,-4,0.0,1.0
76,5,13,34,1 - 1,34,1,1,2,Borussia Dortmund,Lazio,0,0,0.5,0.5
77,5,31,30,3 - 0,31,3,0,3,Club Brugge,Zenit St. Petersburg,1,3,1.0,0.0
78,5,6,33,3 - 0,6,3,0,3,Juventus,Dynamo Kyiv,1,3,1.0,0.0
79,5,84,3,0 - 3,3,0,3,3,Ferencváros,FC Barcelona,0,-3,0.0,1.0
80,5,11,8,1 - 3,8,1,3,4,Manchester United,Paris Saint-Germain,0,-2,0.25,0.75
81,6,34,31,2 - 2,31,2,2,4,Lazio,Club Brugge,0,0,0.5,0.5
82,6,30,13,1 - 2,13,1,2,3,Zenit St. Petersburg,Borussia Dortmund,0,-1,0.3333333333333333,0.6666666666666666
83,6,65,10,1 - 3,10,1,3,4,Stade Rennais,Sevilla,0,-2,0.25,0.75
84,6,9,70,1 - 1,70,1,1,2,Chelsea,FK Krasnodar,0,0,0.5,0.5
85,6,33,84,1 - 0,33,1,0,1,Dynamo Kyiv,Ferencváros,1,1,1.0,0.0
86,6,3,6,0 - 3,6,0,3,3,FC Barcelona,Juventus,0,-3,0.0,1.0
88,6,24,11,3 - 2,24,3,2,5,RB Leipzig,Manchester United,1,1,0.6,0.4
87,6,8,82,5 - 1,8,5,1,6,Paris Saint-Germain,Istanbul Basaksehir,1,4,0.8333333333333334,0.16666666666666666
89,6,17,504,0 - 1,504,0,1,1,Ajax,Atlantas Klaipeda,0,-1,0.0,1.0
90,6,81,5,1 - 1,5,1,1,2,FC Midtjylland,Liverpool,0,0,0.5,0.5
91,6,2,74,2 - 0,2,2,0,2,Bayern München,Lokomotiv Moscow,1,2,1.0,0.0
92,6,28,7,0 - 2,7,0,2,2,FC Salzburg,Atlético Madrid,0,-2,0.0,1.0
93,6,18,21,0 - 0,21,0,0,0,Internazionale,Shakhtar Donetsk,0,0,,
94,6,1,68,2 - 0,1,2,0,2,Real Madrid,Borussia Mönchengladbach,1,2,1.0,0.0
95,6,41,12,0 - 2,12,0,2,2,Olympiakos Piraeus,FC Porto,0,-2,0.0,1.0
96,6,4,42,3 - 0,4,3,0,3,Manchester City,Olympique Marseille,1,3,1.0,0.0
97,R16 Game 1,3,8,1 - 4,8,1,4,5,FC Barcelona,Paris Saint-Germain,0,-3,0.2,0.8
98,R16 Game 1,24,5,0 - 2,5,0,2,2,RB Leipzig,Liverpool,0,-2,0.0,1.0
99,R16 Game 1,12,6,2 - 1,12,2,1,3,FC Porto,Juventus,1,1,0.6666666666666666,0.3333333333333333
100,R16 Game 1,10,13,2 - 3,13,2,3,5,Sevilla,Borussia Dortmund,0,-1,0.4,0.6
101,R16 Game 1,7,9,0 - 1,9,0,1,1,Atlético Madrid,Chelsea,0,-1,0.0,1.0
102,R16 Game 1,34,2,1 - 4,2,1,4,5,Lazio,Bayern München,0,-3,0.2,0.8
103,R16 Game 1,504,1,0 - 1,1,0,1,1,Atlantas Klaipeda,Real Madrid,0,-1,0.0,1.0
104,R16 Game 1,68,4,0 - 2,4,0,2,2,Borussia Mönchengladbach,Manchester City,0,-2,0.0,1.0
105,R16 Game 2,6,12,3 - 2,6,3,2,5,Juventus,FC Porto,1,1,0.6,0.4
106,R16 Game 2,13,10,2 - 2,10,2,2,4,Borussia Dortmund,Sevilla,0,0,0.5,0.5
107,R16 Game 2,5,24,2 - 0,5,2,0,2,Liverpool,RB Leipzig,1,2,1.0,0.0
108,R16 Game 2,8,3,1 - 1,3,1,1,2,Paris Saint-Germain,FC Barcelona,0,0,0.5,0.5
109,R16 Game 2,4,68,2 - 0,4,2,0,2,Manchester City,Borussia Mönchengladbach,1,2,1.0,0.0
110,R16 Game 2,1,504,3 - 1,1,3,1,4,Real Madrid,Atlantas Klaipeda,1,2,0.75,0.25
111,R16 Game 2,9,7,2 - 0,9,2,0,2,Chelsea,Atlético Madrid,1,2,1.0,0.0
112,R16 Game 2,2,34,2 - 1,2,2,1,3,Bayern München,Lazio,1,1,0.6666666666666666,0.3333333333333333
113,QF Game 1,1,5,3 - 1,1,3,1,4,Real Madrid,Liverpool,1,2,0.75,0.25
114,QF Game 1,4,13,2 - 1,4,2,1,3,Manchester City,Borussia Dortmund,1,1,0.6666666666666666,0.3333333333333333
115,QF Game 1,2,8,2 - 3,8,2,3,5,Bayern München,Paris Saint-Germain,0,-1,0.4,0.6
116,QF Game 1,12,9,0 - 2,9,0,2,2,FC Porto,Chelsea,0,-2,0.0,1.0
117,QF Game 2,9,12,0 - 1,12,0,1,1,Chelsea,FC Porto,0,-1,0.0,1.0
118,QF Game 2,8,2,0 - 1,2,0,1,1,Paris Saint-Germain,Bayern München,0,-1,0.0,1.0
119,QF Game 2,13,4,1 - 2,4,1,2,3,Borussia Dortmund,Manchester City,0,-1,0.3333333333333333,0.6666666666666666
120,QF Game 2,5,1,0 - 0,1,0,0,0,Liverpool,Real Madrid,0,0,,
121,SF Game 1,1,9,1 - 1,9,1,1,2,Real Madrid,Chelsea,0,0,0.5,0.5
122,SF Game 1,8,4,1 - 2,4,1,2,3,Paris Saint-Germain,Manchester City,0,-1,0.3333333333333333,0.6666666666666666
123,SF Game 2,4,8,2 - 0,4,2,0,2,Manchester City,Paris Saint-Germain,1,2,1.0,0.0
124,SF Game 2,9,1,2 - 0,9,2,0,2,Chelsea,Real Madrid,1,2,1.0,0.0
125,Final,4,9,0 - 1,9,0,1,1,Manchester City,Chelsea,0,-1,0.0,1.0
