Match Number,Round Number,Home Team,Away Team,Result,Winner,Home Team Goals,Away Team Goals,Match Goals,Home Team Name,Away Team Name,Home is Winner,Goal Difference,Home Goals Ratio,Away Goals Ratio,Home Team Evaluation,Away Team Evaluation,Penalties,Penalties Winner
91,6.0,20,33,2 - 0,20,2,0,2,Benfica,Dynamo Kyiv,1,2,1.0,0.0,20.0,5.0,0,
92,6.0,2,3,3 - 0,2,3,0,3,Bayern München,FC Barcelona,1,3,1.0,0.0,26.0,15.0,0,
93,6.0,11,55,1 - 1,55,1,1,2,Manchester United,Young Boys,0,0,0.5,0.5,18.0,8.0,0,
95,6.0,28,10,1 - 0,28,1,0,1,FC Salzburg,Sevilla,1,1,1.0,0.0,17.0,12.0,0,
96,6.0,54,71,1 - 3,71,1,3,4,VfL Wolfsburg,Lille OSC,0,-2,0.25,0.75,8.0,17.0,0,
94,6.0,504,19,2 - 3,19,2,3,5,Atlantas Klaipeda,Villarreal,0,-1,0.4,0.6,,24.0,0,
97,7.0,8,1,1 - 0,8,1,0,1,Paris Saint-Germain,Real Madrid,1,1,1.0,0.0,19.0,30.0,0,
98,7.0,29,4,0 - 5,4,0,5,5,Sporting CP Lisbon,Manchester City,0,-5,0.0,1.0,16.0,27.0,0,
99,7.0,18,5,0 - 2,5,0,2,2,Internazionale,Liverpool,0,-2,0.0,1.0,18.0,33.0,0,
100,7.0,28,2,1 - 1,2,1,1,2,FC Salzburg,Bayern München,0,0,0.5,0.5,17.0,26.0,0,
101,7.0,19,6,1 - 1,6,1,1,2,Villarreal,Juventus,0,0,0.5,0.5,24.0,20.0,0,
102,7.0,9,71,2 - 0,9,2,0,2,Chelsea,Lille OSC,1,2,1.0,0.0,25.0,17.0,0,
103,7.0,7,11,1 - 1,11,1,1,2,Atlético Madrid,Manchester United,0,0,0.5,0.5,19.0,18.0,0,
104,7.0,20,17,2 - 2,17,2,2,4,Benfica,Ajax,0,0,0.5,0.5,20.0,22.0,0,
105,8.0,2,28,7 - 1,2,7,1,8,Bayern München,FC Salzburg,1,6,0.875,0.125,26.0,17.0,0,
106,8.0,5,18,0 - 1,18,0,1,1,Liverpool,Internazionale,0,-1,0.0,1.0,33.0,18.0,0,
107,8.0,4,29,0 - 0,29,0,0,0,Manchester City,Sporting CP Lisbon,0,0,,,27.0,16.0,1,29.0
108,8.0,1,8,3 - 1,1,3,1,4,Real Madrid,Paris Saint-Germain,1,2,0.75,0.25,30.0,19.0,0,
109,8.0,17,20,0 - 1,20,0,1,1,Ajax,Benfica,0,-1,0.0,1.0,22.0,20.0,0,
110,8.0,11,7,0 - 1,7,0,1,1,Manchester United,Atlético Madrid,0,-1,0.0,1.0,18.0,19.0,0,
111,8.0,71,9,1 - 2,9,1,2,3,Lille OSC,Chelsea,0,-1,0.3333333333333333,0.6666666666666666,17.0,25.0,0,
112,8.0,6,19,0 - 3,19,0,3,3,Juventus,Villarreal,0,-3,0.0,1.0,20.0,24.0,0,
113,9.0,4,7,1 - 0,4,1,0,1,Manchester City,Atlético Madrid,1,1,1.0,0.0,27.0,19.0,0,
114,9.0,20,5,1 - 3,5,1,3,4,Benfica,Liverpool,0,-2,0.25,0.75,20.0,33.0,0,
115,9.0,9,1,1 - 3,1,1,3,4,Chelsea,Real Madrid,0,-2,0.25,0.75,25.0,30.0,0,
116,9.0,19,2,1 - 0,19,1,0,1,Villarreal,Bayern München,1,1,1.0,0.0,24.0,26.0,0,
117,10.0,2,19,1 - 1,19,1,1,2,Bayern München,Villarreal,0,0,0.5,0.5,26.0,24.0,0,
118,10.0,1,9,2 - 3,9,2,3,5,Real Madrid,Chelsea,0,-1,0.4,0.6,30.0,25.0,0,
119,10.0,5,20,3 - 3,20,3,3,6,Liverpool,Benfica,0,0,0.5,0.5,33.0,20.0,0,
120,10.0,7,4,0 - 0,4,0,0,0,Atlético Madrid,Manchester City,0,0,,,19.0,27.0,1,4.0
121,11.0,4,1,4 - 3,4,4,3,7,Manchester City,Real Madrid,1,1,0.5714285714285714,0.42857142857142855,27.0,30.0,0,
122,11.0,5,19,2 - 0,5,2,0,2,Liverpool,Villarreal,1,2,1.0,0.0,33.0,24.0,0,
