Match Number,Round Number,Home Team,Away Team,Result,Winner,Home Team Goals,Away Team Goals,Match Goals,Home Team Name,Away Team Name,Home is Winner,Goal Difference,Home Goals Ratio,Away Goals Ratio
1,1,43,9,1 - 0,43,1,0,1,Dinamo Zagreb,Chelsea,1,1,1.0,0.0
2,1,13,38,3 - 0,13,3,0,3,Borussia Dortmund,FC København,1,3,1.0,0.0
3,1,28,25,1 - 1,25,1,1,2,FC Salzburg,AC Milan,0,0,0.5,0.5
4,1,50,1,0 - 3,1,0,3,3,Celtic,Real Madrid,0,-3,0.0,1.0
5,1,24,21,1 - 4,21,1,4,5,RB Leipzig,Shakhtar Donetsk,0,-3,0.2,0.8
6,1,10,4,0 - 4,4,0,4,4,Sevilla,Manchester City,0,-4,0.0,1.0
7,1,8,6,2 - 1,8,2,1,3,Paris Saint-Germain,Juventus,1,1,0.6666666666666666,0.3333333333333333
8,1,20,162,2 - 0,20,2,0,2,Benfica,Maccabi Haifa,1,2,1.0,0.0
9,1,17,49,4 - 0,17,4,0,4,Ajax,Glasgow Rangers,1,4,1.0,0.0
10,1,35,29,0 - 3,29,0,3,3,Eintracht Frankfurt,Sporting CP Lisbon,0,-3,0.0,1.0
11,1,16,5,4 - 1,16,4,1,5,Napoli,Liverpool,1,3,0.8,0.2
12,1,7,12,2 - 1,7,2,1,3,Atlético Madrid,FC Porto,1,1,0.6666666666666666,0.3333333333333333
13,1,31,22,1 - 0,31,1,0,1,Club Brugge,Bayer Leverkusen,1,1,1.0,0.0
14,1,3,60,5 - 1,3,5,1,6,FC Barcelona,Viktoria Plzen,1,4,0.8333333333333334,0.16666666666666666
15,1,18,2,0 - 2,2,0,2,2,Internazionale,Bayern München,0,-2,0.0,1.0
16,1,23,42,2 - 0,23,2,0,2,Tottenham Hotspur,Olympique Marseille,1,2,1.0,0.0
17,2,60,18,0 - 2,18,0,2,2,Viktoria Plzen,Internazionale,0,-2,0.0,1.0
18,2,29,23,2 - 0,29,2,0,2,Sporting CP Lisbon,Tottenham Hotspur,1,2,1.0,0.0
19,2,5,17,2 - 1,5,2,1,3,Liverpool,Ajax,1,1,0.6666666666666666,0.3333333333333333
21,2,12,31,0 - 4,31,0,4,4,FC Porto,Club Brugge,0,-4,0.0,1.0
22,2,22,7,2 - 0,22,2,0,2,Bayer Leverkusen,Atlético Madrid,1,2,1.0,0.0
23,2,2,3,2 - 0,2,2,0,2,Bayern München,FC Barcelona,1,2,1.0,0.0
24,2,42,35,0 - 1,35,0,1,1,Olympique Marseille,Eintracht Frankfurt,0,-1,0.0,1.0
25,2,25,43,3 - 1,25,3,1,4,AC Milan,Dinamo Zagreb,1,2,0.75,0.25
26,2,21,50,1 - 1,50,1,1,2,Shakhtar Donetsk,Celtic,0,0,0.5,0.5
20,2,49,16,0 - 3,16,0,3,3,Glasgow Rangers,Napoli,0,-3,0.0,1.0
27,2,9,28,1 - 1,28,1,1,2,Chelsea,FC Salzburg,0,0,0.5,0.5
28,2,1,24,2 - 0,1,2,0,2,Real Madrid,RB Leipzig,1,2,1.0,0.0
29,2,4,13,2 - 1,4,2,1,3,Manchester City,Borussia Dortmund,1,1,0.6666666666666666,0.3333333333333333
30,2,38,10,0 - 0,10,0,0,0,FC København,Sevilla,0,0,,
31,2,6,20,1 - 2,20,1,2,3,Juventus,Benfica,0,-1,0.3333333333333333,0.6666666666666666
32,2,162,8,1 - 3,8,1,3,4,Maccabi Haifa,Paris Saint-Germain,0,-2,0.25,0.75
33,3,2,60,5 - 0,2,5,0,5,Bayern München,Viktoria Plzen,1,5,1.0,0.0
34,3,42,29,4 - 1,42,4,1,5,Olympique Marseille,Sporting CP Lisbon,1,3,0.8,0.2
35,3,5,49,2 - 0,5,2,0,2,Liverpool,Glasgow Rangers,1,2,1.0,0.0
36,3,17,16,1 - 6,16,1,6,7,Ajax,Napoli,0,-5,0.14285714285714285,0.8571428571428571
37,3,12,22,2 - 0,12,2,0,2,FC Porto,Bayer Leverkusen,1,2,1.0,0.0
38,3,31,7,2 - 0,31,2,0,2,Club Brugge,Atlético Madrid,1,2,1.0,0.0
39,3,18,3,1 - 0,18,1,0,1,Internazionale,FC Barcelona,1,1,1.0,0.0
40,3,35,23,0 - 0,23,0,0,0,Eintracht Frankfurt,Tottenham Hotspur,0,0,,
41,3,28,43,1 - 0,28,1,0,1,FC Salzburg,Dinamo Zagreb,1,1,1.0,0.0
42,3,24,50,3 - 1,24,3,1,4,RB Leipzig,Celtic,1,2,0.75,0.25
43,3,9,25,3 - 0,9,3,0,3,Chelsea,AC Milan,1,3,1.0,0.0
44,3,1,21,2 - 1,1,2,1,3,Real Madrid,Shakhtar Donetsk,1,1,0.6666666666666666,0.3333333333333333
45,3,4,38,5 - 0,4,5,0,5,Manchester City,FC København,1,5,1.0,0.0
46,3,10,13,1 - 4,13,1,4,5,Sevilla,Borussia Dortmund,0,-3,0.2,0.8
47,3,6,162,3 - 1,6,3,1,4,Juventus,Maccabi Haifa,1,2,0.75,0.25
48,3,20,8,1 - 1,8,1,1,2,Benfica,Paris Saint-Germain,0,0,0.5,0.5
49,4,38,4,0 - 0,4,0,0,0,FC København,Manchester City,0,0,,
50,4,162,6,2 - 0,162,2,0,2,Maccabi Haifa,Juventus,1,2,1.0,0.0
51,4,43,28,1 - 1,28,1,1,2,Dinamo Zagreb,FC Salzburg,0,0,0.5,0.5
52,4,25,9,0 - 2,9,0,2,2,AC Milan,Chelsea,0,-2,0.0,1.0
53,4,21,1,1 - 1,1,1,1,2,Shakhtar Donetsk,Real Madrid,0,0,0.5,0.5
54,4,50,24,0 - 2,24,0,2,2,Celtic,RB Leipzig,0,-2,0.0,1.0
55,4,13,10,1 - 1,10,1,1,2,Borussia Dortmund,Sevilla,0,0,0.5,0.5
56,4,8,20,1 - 1,20,1,1,2,Paris Saint-Germain,Benfica,0,0,0.5,0.5
57,4,16,17,4 - 2,16,4,2,6,Napoli,Ajax,1,2,0.6666666666666666,0.3333333333333333
58,4,7,31,0 - 0,31,0,0,0,Atlético Madrid,Club Brugge,0,0,,
59,4,49,5,1 - 7,5,1,7,8,Glasgow Rangers,Liverpool,0,-6,0.125,0.875
60,4,22,12,0 - 3,12,0,3,3,Bayer Leverkusen,FC Porto,0,-3,0.0,1.0
61,4,3,18,3 - 3,18,3,3,6,FC Barcelona,Internazionale,0,0,0.5,0.5
62,4,60,2,2 - 4,2,2,4,6,Viktoria Plzen,Bayern München,0,-2,0.3333333333333333,0.6666666666666666
63,4,23,35,3 - 2,23,3,2,5,Tottenham Hotspur,Eintracht Frankfurt,1,1,0.6,0.4
64,4,29,42,0 - 2,42,0,2,2,Sporting CP Lisbon,Olympique Marseille,0,-2,0.0,1.0
65,5,28,9,1 - 2,9,1,2,3,FC Salzburg,Chelsea,0,-1,0.3333333333333333,0.6666666666666666
66,5,10,38,3 - 0,10,3,0,3,Sevilla,FC København,1,3,1.0,0.0
67,5,43,25,0 - 4,25,0,4,4,Dinamo Zagreb,AC Milan,0,-4,0.0,1.0
68,5,50,21,1 - 1,21,1,1,2,Celtic,Shakhtar Donetsk,0,0,0.5,0.5
69,5,24,1,3 - 2,24,3,2,5,RB Leipzig,Real Madrid,1,1,0.6,0.4
70,5,13,4,0 - 0,4,0,0,0,Borussia Dortmund,Manchester City,0,0,,
71,5,8,162,7 - 2,8,7,2,9,Paris Saint-Germain,Maccabi Haifa,1,5,0.7777777777777778,0.2222222222222222
