Match Number,Round Number,Home Team,Away Team,Result,Winner,Home Team Goals,Away Team Goals,Match Goals,Home Team Name,Away Team Name,Home is Winner,Goal Difference,Home Goals Ratio,Away Goals Ratio
72,5,20,6,4 - 3,20,4,3,7,Benfica,Juventus,1,1,0.5714285714285714,0.42857142857142855
73,5,31,12,0 - 4,12,0,4,4,Club Brugge,FC Porto,0,-4,0.0,1.0
74,5,18,60,4 - 0,18,4,0,4,Internazionale,Viktoria Plzen,1,4,1.0,0.0
75,5,16,49,3 - 0,16,3,0,3,Napoli,Glasgow Rangers,1,3,1.0,0.0
76,5,17,5,0 - 3,5,0,3,3,Ajax,Liverpool,0,-3,0.0,1.0
77,5,7,22,2 - 2,22,2,2,4,Atlético Madrid,Bayer Leverkusen,0,0,0.5,0.5
78,5,3,2,0 - 3,2,0,3,3,FC Barcelona,Bayern München,0,-3,0.0,1.0
79,5,23,29,1 - 1,29,1,1,2,Tottenham Hotspur,Sporting CP Lisbon,0,0,0.5,0.5
80,5,35,42,2 - 1,35,2,1,3,Eintracht Frankfurt,Olympique Marseille,1,1,0.6666666666666666,0.3333333333333333
81,6,12,7,2 - 1,12,2,1,3,FC Porto,Atlético Madrid,1,1,0.6666666666666666,0.3333333333333333
82,6,22,31,0 - 0,31,0,0,0,Bayer Leverkusen,Club Brugge,0,0,,
83,6,5,16,2 - 0,5,2,0,2,Liverpool,Napoli,1,2,1.0,0.0
84,6,49,17,1 - 3,17,1,3,4,Glasgow Rangers,Ajax,0,-2,0.25,0.75
85,6,2,18,2 - 0,2,2,0,2,Bayern München,Internazionale,1,2,1.0,0.0
86,6,60,3,2 - 4,3,2,4,6,Viktoria Plzen,FC Barcelona,0,-2,0.3333333333333333,0.6666666666666666
87,6,29,35,1 - 2,35,1,2,3,Sporting CP Lisbon,Eintracht Frankfurt,0,-1,0.3333333333333333,0.6666666666666666
88,6,42,23,1 - 2,23,1,2,3,Olympique Marseille,Tottenham Hotspur,0,-1,0.3333333333333333,0.6666666666666666
89,6,1,50,5 - 1,1,5,1,6,Real Madrid,Celtic,1,4,0.8333333333333334,0.16666666666666666
90,6,21,24,0 - 4,24,0,4,4,Shakhtar Donetsk,RB Leipzig,0,-4,0.0,1.0
91,6,9,43,2 - 1,9,2,1,3,Chelsea,Dinamo Zagreb,1,1,0.6666666666666666,0.3333333333333333
92,6,25,28,4 - 0,25,4,0,4,AC Milan,FC Salzburg,1,4,1.0,0.0
93,6,4,10,3 - 1,4,3,1,4,Manchester City,Sevilla,1,2,0.75,0.25
94,6,38,13,1 - 1,13,1,1,2,FC København,Borussia Dortmund,0,0,0.5,0.5
95,6,6,8,1 - 2,8,1,2,3,Juventus,Paris Saint-Germain,0,-1,0.3333333333333333,0.6666666666666666
96,6,162,20,1 - 6,20,1,6,7,Maccabi Haifa,Benfica,0,-5,0.14285714285714285,0.8571428571428571
97,R16 Game 1,25,23,1 - 0,25,1,0,1,AC Milan,Tottenham Hotspur,1,1,1.0,0.0
98,R16 Game 1,8,2,0 - 1,2,0,1,1,Paris Saint-Germain,Bayern München,0,-1,0.0,1.0
99,R16 Game 1,31,20,0 - 2,20,0,2,2,Club Brugge,Benfica,0,-2,0.0,1.0
100,R16 Game 1,13,9,1 - 0,13,1,0,1,Borussia Dortmund,Chelsea,1,1,1.0,0.0
101,R16 Game 1,5,1,2 - 5,1,2,5,7,Liverpool,Real Madrid,0,-3,0.2857142857142857,0.7142857142857143
102,R16 Game 1,35,16,0 - 2,16,0,2,2,Eintracht Frankfurt,Napoli,0,-2,0.0,1.0
103,R16 Game 1,24,4,1 - 1,4,1,1,2,RB Leipzig,Manchester City,0,0,0.5,0.5
104,R16 Game 1,18,12,1 - 0,18,1,0,1,Internazionale,FC Porto,1,1,1.0,0.0
105,R16 Game 2,20,31,5 - 1,20,5,1,6,Benfica,Club Brugge,1,4,0.8333333333333334,0.16666666666666666
106,R16 Game 2,9,13,2 - 0,9,2,0,2,Chelsea,Borussia Dortmund,1,2,1.0,0.0
108,R16 Game 2,2,8,2 - 0,2,2,0,2,Bayern München,Paris Saint-Germain,1,2,1.0,0.0
107,R16 Game 2,23,25,0 - 0,25,0,0,0,Tottenham Hotspur,AC Milan,0,0,,
109,R16 Game 2,4,24,7 - 0,4,7,0,7,Manchester City,RB Leipzig,1,7,1.0,0.0
110,R16 Game 2,12,18,0 - 0,18,0,0,0,FC Porto,Internazionale,0,0,,
111,R16 Game 2,1,5,1 - 0,1,1,0,1,Real Madrid,Liverpool,1,1,1.0,0.0
112,R16 Game 2,16,35,3 - 0,16,3,0,3,Napoli,Eintracht Frankfurt,1,3,1.0,0.0
113,QF Game 1,20,18,0 - 2,18,0,2,2,Benfica,Internazionale,0,-2,0.0,1.0
114,QF Game 1,4,2,3 - 0,4,3,0,3,Manchester City,Bayern München,1,3,1.0,0.0
115,QF Game 1,1,9,2 - 0,1,2,0,2,Real Madrid,Chelsea,1,2,1.0,0.0
116,QF Game 1,25,16,1 - 0,25,1,0,1,AC Milan,Napoli,1,1,1.0,0.0
117,QF Game 2,16,25,1 - 1,25,1,1,2,Napoli,AC Milan,0,0,0.5,0.5
118,QF Game 2,9,1,0 - 2,1,0,2,2,Chelsea,Real Madrid,0,-2,0.0,1.0
119,QF Game 2,2,4,1 - 1,4,1,1,2,Bayern München,Manchester City,0,0,0.5,0.5
120,QF Game 2,18,20,3 - 3,20,3,3,6,Internazionale,Benfica,0,0,0.5,0.5
121,SF Game 1,1,4,1 - 1,4,1,1,2,Real Madrid,Manchester City,0,0,0.5,0.5
122,SF Game 1,25,18,0 - 2,18,0,2,2,AC Milan,Internazionale,0,-2,0.0,1.0
123,SF Game 2,18,25,1 - 0,18,1,0,1,Internazionale,AC Milan,1,1,1.0,0.0
124,SF Game 2,4,1,4 - 0,4,4,0,4,Manchester City,Real Madrid,1,4,1.0,0.0
125,Final,4,18,1 - 0,4,1,0,1,Manchester City,Internazionale,1,1,1.0,0.0
