Match Number,Round Number,Home Team,Away Team,Result,Winner,Home Team Goals,Away Team Goals,Match Goals
68,5,Young Boys,Atalanta,3 - 3,Atalanta,3,3,6
69,5,LOSC,Salzburg,1 - 0,LOSC,1,0,1
70,5,Sevilla,Wolfsburg,2 - 0,Sevilla,2,0,2
71,5,Malmö,Zenit,1 - 1,Zenit,1,1,2
72,5,Chelsea,Juventus,4 - 0,Chelsea,4,0,4
73,5,Besiktas,Ajax,1 - 2,Ajax,1,2,3
74,5,Inter,Shakhtar Donetsk,2 - 0,Inter,2,0,2
75,5,Club Brugge,Leipzig,0 - 5,Leipzig,0,5,5
76,5,Man. City,Paris,2 - 1,Man. City,2,1,3
77,5,Atlético,Milan,0 - 1,Milan,0,1,1
78,5,Liverpool,Porto,2 - 0,Liverpool,2,0,2
79,5,Sporting CP,Dortmund,3 - 1,Sporting CP,3,1,4
80,5,Sheriff,Real Madrid,0 - 3,Real Madrid,0,3,3
81,6,Paris,Club Brugge,4 - 1,Paris,4,1,5
82,6,Leipzig,Man. City,2 - 1,Leipzig,2,1,3
83,6,Milan,Liverpool,1 - 2,Liverpool,1,2,3
84,6,Porto,Atlético,1 - 3,Atlético,1,3,4
85,6,Dortmund,Besiktas,5 - 0,Dortmund,5,0,5
86,6,Ajax,Sporting CP,4 - 2,Ajax,4,2,6
87,6,Real Madrid,Inter,2 - 0,Real Madrid,2,0,2
88,6,Shakhtar Donetsk,Sheriff,1 - 1,Sheriff,1,1,2
89,6,Juventus,Malmö,1 - 0,Juventus,1,0,1
90,6,Zenit,Chelsea,3 - 3,Chelsea,3,3,6
91,6,Benfica,Dynamo Kyiv,2 - 0,Benfica,2,0,2
92,6,Bayern,Barcelona,3 - 0,Bayern,3,0,3
93,6,Man. United,Young Boys,1 - 1,Young Boys,1,1,2
95,6,Salzburg,Sevilla,1 - 0,Salzburg,1,0,1
96,6,Wolfsburg,LOSC,1 - 3,LOSC,1,3,4
94,6,Atalanta,Villarreal,2 - 3,Villarreal,2,3,5
97,R16 Game 1,Paris,Real Madrid,1 - 0,Paris,1,0,1
98,R16 Game 1,Sporting CP,Man. City,0 - 5,Man. City,0,5,5
99,R16 Game 1,Inter,Liverpool,0 - 2,Liverpool,0,2,2
100,R16 Game 1,Salzburg,Bayern,1 - 1,Bayern,1,1,2
101,R16 Game 1,Villarreal,Juventus,1 - 1,Juventus,1,1,2
102,R16 Game 1,Chelsea,LOSC,2 - 0,Chelsea,2,0,2
103,R16 Game 1,Atlético,Man. United,1 - 1,Man. United,1,1,2
104,R16 Game 1,Benfica,Ajax,2 - 2,Ajax,2,2,4
105,R16 Game 2,Bayern,Salzburg,7 - 1,Bayern,7,1,8
106,R16 Game 2,Liverpool,Inter,0 - 1,Inter,0,1,1
107,R16 Game 2,Man. City,Sporting CP,0 - 0,Sporting CP,0,0,0
108,R16 Game 2,Real Madrid,Paris,3 - 1,Real Madrid,3,1,4
109,R16 Game 2,Ajax,Benfica,0 - 1,Benfica,0,1,1
110,R16 Game 2,Man. United,Atlético,0 - 1,Atlético,0,1,1
111,R16 Game 2,LOSC,Chelsea,1 - 2,Chelsea,1,2,3
112,R16 Game 2,Juventus,Villarreal,0 - 3,Villarreal,0,3,3
113,QF Game 1,Man. City,Atlético,1 - 0,Man. City,1,0,1
114,QF Game 1,Benfica,Liverpool,1 - 3,Liverpool,1,3,4
115,QF Game 1,Chelsea,Real Madrid,1 - 3,Real Madrid,1,3,4
116,QF Game 1,Villarreal,Bayern,1 - 0,Villarreal,1,0,1
117,QF Game 2,Bayern,Villarreal,1 - 1,Villarreal,1,1,2
118,QF Game 2,Real Madrid,Chelsea,2 - 3,Chelsea,2,3,5
119,QF Game 2,Liverpool,Benfica,3 - 3,Benfica,3,3,6
120,QF Game 2,Atlético,Man. City,0 - 0,Man. City,0,0,0
121,SF Game 1,Man. City,Real Madrid,4 - 3,Man. City,4,3,7
122,SF Game 1,Liverpool,Villarreal,2 - 0,Liverpool,2,0,2
123,SF Game 2,Villarreal,Liverpool,2 - 3,Liverpool,2,3,5
124,SF Game 2,Real Madrid,Man. City,3 - 1,Real Madrid,3,1,4
125,Final,Liverpool,Real Madrid,0 - 1,Real Madrid,0,1,1
