Match Number,Round Number,Home Team,Away Team,Result,Winner,Home Team Goals,Away Team Goals,Match Goals
2,1,Young Boys,Man. United,2 - 1,Young Boys,2,1,3
3,1,Sevilla,Salzburg,1 - 1,Salzburg,1,1,2
1,1,Villarreal,Atalanta,2 - 2,Atalanta,2,2,4
4,1,Dynamo Kyiv,Benfica,0 - 0,Benfica,0,0,0
5,1,Barcelona,Bayern,0 - 3,Bayern,0,3,3
6,1,LOSC,Wolfsburg,0 - 0,Wolfsburg,0,0,0
7,1,Malmö,Juventus,0 - 3,Juventus,0,3,3
8,1,Chelsea,Zenit,1 - 0,Chelsea,1,0,1
9,1,Besiktas,Dortmund,1 - 2,Dortmund,1,2,3
10,1,Sheriff,Shakhtar Donetsk,2 - 0,Sheriff,2,0,2
11,1,Club Brugge,Paris,1 - 1,Paris,1,1,2
12,1,Man. City,Leipzig,6 - 3,Man. City,6,3,9
13,1,Atlético,Porto,0 - 0,Porto,0,0,0
14,1,Liverpool,Milan,3 - 2,Liverpool,3,2,5
15,1,Sporting CP,Ajax,1 - 5,Ajax,1,5,6
16,1,Inter,Real Madrid,0 - 1,Real Madrid,0,1,1
17,2,Ajax,Besiktas,2 - 0,Ajax,2,0,2
18,2,Shakhtar Donetsk,Inter,0 - 0,Inter,0,0,0
19,2,Paris,Man. City,2 - 0,Paris,2,0,2
20,2,Leipzig,Club Brugge,1 - 2,Club Brugge,1,2,3
21,2,Porto,Liverpool,1 - 5,Liverpool,1,5,6
22,2,Milan,Atlético,1 - 2,Atlético,1,2,3
23,2,Dortmund,Sporting CP,1 - 0,Dortmund,1,0,1
24,2,Real Madrid,Sheriff,1 - 2,Sheriff,1,2,3
25,2,Atalanta,Young Boys,1 - 0,Atalanta,1,0,1
26,2,Zenit,Malmö,4 - 0,Zenit,4,0,4
27,2,Bayern,Dynamo Kyiv,5 - 0,Bayern,5,0,5
28,2,Benfica,Barcelona,3 - 0,Benfica,3,0,3
29,2,Man. United,Villarreal,2 - 1,Man. United,2,1,3
30,2,Wolfsburg,Sevilla,1 - 1,Sevilla,1,1,2
31,2,Salzburg,LOSC,2 - 1,Salzburg,2,1,3
32,2,Juventus,Chelsea,1 - 0,Juventus,1,0,1
33,3,Club Brugge,Man. City,1 - 5,Man. City,1,5,6
34,3,Besiktas,Sporting CP,1 - 4,Sporting CP,1,4,5
35,3,Paris,Leipzig,3 - 2,Paris,3,2,5
36,3,Porto,Milan,1 - 0,Porto,1,0,1
37,3,Atlético,Liverpool,2 - 3,Liverpool,2,3,5
38,3,Ajax,Dortmund,4 - 0,Ajax,4,0,4
39,3,Inter,Sheriff,3 - 1,Inter,3,1,4
40,3,Shakhtar Donetsk,Real Madrid,0 - 5,Real Madrid,0,5,5
41,3,Barcelona,Dynamo Kyiv,1 - 0,Barcelona,1,0,1
42,3,Salzburg,Wolfsburg,3 - 1,Salzburg,3,1,4
43,3,Benfica,Bayern,0 - 4,Bayern,0,4,4
44,3,Young Boys,Villarreal,1 - 4,Villarreal,1,4,5
45,3,Man. United,Atalanta,3 - 2,Man. United,3,2,5
46,3,LOSC,Sevilla,0 - 0,Sevilla,0,0,0
47,3,Chelsea,Malmö,4 - 0,Chelsea,4,0,4
48,3,Zenit,Juventus,0 - 1,Juventus,0,1,1
49,4,Wolfsburg,Salzburg,2 - 1,Wolfsburg,2,1,3
50,4,Malmö,Chelsea,0 - 1,Chelsea,0,1,1
51,4,Dynamo Kyiv,Barcelona,0 - 1,Barcelona,0,1,1
52,4,Bayern,Benfica,5 - 2,Bayern,5,2,7
53,4,Villarreal,Young Boys,2 - 0,Villarreal,2,0,2
54,4,Atalanta,Man. United,2 - 2,Man. United,2,2,4
55,4,Sevilla,LOSC,1 - 2,LOSC,1,2,3
56,4,Juventus,Zenit,4 - 2,Juventus,4,2,6
57,4,Milan,Porto,1 - 1,Porto,1,1,2
58,4,Real Madrid,Shakhtar Donetsk,2 - 1,Real Madrid,2,1,3
59,4,Man. City,Club Brugge,4 - 1,Man. City,4,1,5
60,4,Leipzig,Paris,2 - 2,Paris,2,2,4
61,4,Liverpool,Atlético,2 - 0,Liverpool,2,0,2
62,4,Sporting CP,Besiktas,4 - 0,Sporting CP,4,0,4
63,4,Dortmund,Ajax,1 - 3,Ajax,1,3,4
64,4,Sheriff,Inter,1 - 3,Inter,1,3,4
65,5,Dynamo Kyiv,Bayern,1 - 2,Bayern,1,2,3
66,5,Villarreal,Man. United,0 - 2,Man. United,0,2,2
67,5,Barcelona,Benfica,0 - 0,Benfica,0,0,0
