Match Number,Round Number,Home Team,Away Team,Result,Winner,Home Team Goals,Away Team Goals,Match Goals,Home Team Name,Away Team Name,Home is Winner,Goal Difference,Home Goals Ratio,Away Goals Ratio,Home Team Evaluation,Away Team Evaluation,Penalties,Penalties Winner
1,1.0,18,23,2 - 1,18,2,1,3,Internazionale,Tottenham Hotspur,1,1,0.6666666666666666,0.3333333333333333,15.0,26.0,0,
2,1.0,3,32,4 - 0,3,4,0,4,FC Barcelona,PSV Eindhoven,1,4,1.0,0.0,30.0,6.0,0,
3,1.0,37,7,1 - 2,7,1,2,3,AS Monaco,Atlético Madrid,0,-1,0.3333333333333333,0.6666666666666666,5.0,20.0,0,
4,1.0,31,13,0 - 1,13,0,1,1,Club Brugge,Borussia Dortmund,0,-1,0.0,1.0,11.0,18.0,0,
5,1.0,570,16,0 - 0,16,0,0,0,Crvena zvezda,Napoli,0,0,,,,18.0,1,16.0
6,1.0,5,8,3 - 2,5,3,2,5,Liverpool,Paris Saint-Germain,1,1,0.6,0.4,29.0,19.0,0,
7,1.0,51,12,1 - 1,12,1,1,2,Schalke 04,FC Porto,0,0,0.5,0.5,17.0,23.0,0,
8,1.0,64,74,3 - 0,64,3,0,3,Galatasaray,Lokomotiv Moscow,1,3,1.0,0.0,8.0,6.0,0,
9,1.0,17,134,3 - 0,17,3,0,3,Ajax,AEK Athens,1,3,1.0,0.0,27.0,4.0,0,
10,1.0,21,111,2 - 2,111,2,2,4,Shakhtar Donetsk,1899 Hoffenheim,0,0,0.5,0.5,10.0,7.0,0,
11,1.0,20,2,0 - 2,2,0,2,2,Benfica,Bayern München,0,-2,0.0,1.0,17.0,20.0,0,
12,1.0,4,27,1 - 2,27,1,2,3,Manchester City,Olympique Lyon,0,-1,0.3333333333333333,0.6666666666666666,25.0,17.0,0,
13,1.0,60,62,2 - 2,62,2,2,4,Viktoria Plzen,CSKA Moscow,0,0,0.5,0.5,11.0,9.0,0,
14,1.0,1,14,3 - 0,1,3,0,3,Real Madrid,AS Roma,1,3,1.0,0.0,19.0,17.0,0,
15,1.0,63,6,0 - 2,6,0,2,2,Valencia,Juventus,0,-2,0.0,1.0,23.0,21.0,0,
16,1.0,55,11,0 - 3,11,0,3,3,Young Boys,Manchester United,0,-3,0.0,1.0,7.0,19.0,0,
17,2.0,111,4,1 - 2,4,1,2,3,1899 Hoffenheim,Manchester City,0,-1,0.3333333333333333,0.6666666666666666,7.0,25.0,0,
18,2.0,6,55,3 - 0,6,3,0,3,Juventus,Young Boys,1,3,1.0,0.0,21.0,7.0,0,
19,2.0,134,20,2 - 3,20,2,3,5,AEK Athens,Benfica,0,-1,0.4,0.6,4.0,17.0,0,
20,2.0,2,17,1 - 1,17,1,1,2,Bayern München,Ajax,0,0,0.5,0.5,20.0,27.0,0,
21,2.0,27,21,2 - 2,21,2,2,4,Olympique Lyon,Shakhtar Donetsk,0,0,0.5,0.5,17.0,10.0,0,
22,2.0,14,60,5 - 0,14,5,0,5,AS Roma,Viktoria Plzen,1,5,1.0,0.0,17.0,11.0,0,
23,2.0,62,1,1 - 0,62,1,0,1,CSKA Moscow,Real Madrid,1,1,1.0,0.0,9.0,19.0,0,
24,2.0,11,63,0 - 0,63,0,0,0,Manchester United,Valencia,0,0,,,19.0,23.0,1,63.0
25,2.0,8,570,6 - 1,8,6,1,7,Paris Saint-Germain,Crvena zvezda,1,5,0.8571428571428571,0.14285714285714285,19.0,,0,
26,2.0,74,51,0 - 1,51,0,1,1,Lokomotiv Moscow,Schalke 04,0,-1,0.0,1.0,6.0,17.0,0,
27,2.0,13,37,3 - 0,13,3,0,3,Borussia Dortmund,AS Monaco,1,3,1.0,0.0,18.0,5.0,0,
28,2.0,7,31,3 - 1,7,3,1,4,Atlético Madrid,Club Brugge,1,2,0.75,0.25,20.0,11.0,0,
29,2.0,32,18,1 - 2,18,1,2,3,PSV Eindhoven,Internazionale,0,-1,0.3333333333333333,0.6666666666666666,6.0,15.0,0,
30,2.0,23,3,2 - 4,3,2,4,6,Tottenham Hotspur,FC Barcelona,0,-2,0.3333333333333333,0.6666666666666666,26.0,30.0,0,
31,2.0,16,5,1 - 0,16,1,0,1,Napoli,Liverpool,1,1,1.0,0.0,18.0,29.0,0,
32,2.0,12,64,1 - 0,12,1,0,1,FC Porto,Galatasaray,1,1,1.0,0.0,23.0,8.0,0,
33,3.0,134,2,0 - 2,2,0,2,2,AEK Athens,Bayern München,0,-2,0.0,1.0,4.0,20.0,0,
34,3.0,55,63,1 - 1,63,1,1,2,Young Boys,Valencia,0,0,0.5,0.5,7.0,23.0,0,
35,3.0,17,20,1 - 0,17,1,0,1,Ajax,Benfica,1,1,1.0,0.0,27.0,17.0,0,
36,3.0,21,4,0 - 3,4,0,3,3,Shakhtar Donetsk,Manchester City,0,-3,0.0,1.0,10.0,25.0,0,
37,3.0,111,27,3 - 3,27,3,3,6,1899 Hoffenheim,Olympique Lyon,0,0,0.5,0.5,7.0,17.0,0,
38,3.0,1,60,2 - 1,1,2,1,3,Real Madrid,Viktoria Plzen,1,1,0.6666666666666666,0.3333333333333333,19.0,11.0,0,
39,3.0,14,62,3 - 0,14,3,0,3,AS Roma,CSKA Moscow,1,3,1.0,0.0,17.0,9.0,0,
40,3.0,11,6,0 - 1,6,0,1,1,Manchester United,Juventus,0,-1,0.0,1.0,19.0,21.0,0,
41,3.0,31,37,1 - 1,37,1,1,2,Club Brugge,AS Monaco,0,0,0.5,0.5,11.0,5.0,0,
42,3.0,32,23,2 - 2,23,2,2,4,PSV Eindhoven,Tottenham Hotspur,0,0,0.5,0.5,6.0,26.0,0,
43,3.0,13,7,4 - 0,13,4,0,4,Borussia Dortmund,Atlético Madrid,1,4,1.0,0.0,18.0,20.0,0,
44,3.0,3,18,2 - 0,3,2,0,2,FC Barcelona,Internazionale,1,2,1.0,0.0,30.0,15.0,0,
45,3.0,5,570,4 - 0,5,4,0,4,Liverpool,Crvena zvezda,1,4,1.0,0.0,29.0,,0,
46,3.0,8,16,2 - 2,16,2,2,4,Paris Saint-Germain,Napoli,0,0,0.5,0.5,19.0,18.0,0,
47,3.0,64,51,0 - 0,51,0,0,0,Galatasaray,Schalke 04,0,0,,,8.0,17.0,1,51.0
48,3.0,74,12,1 - 3,12,1,3,4,Lokomotiv Moscow,FC Porto,0,-2,0.25,0.75,6.0,23.0,0,
49,4.0,37,31,0 - 4,31,0,4,4,AS Monaco,Club Brugge,0,-4,0.0,1.0,5.0,11.0,0,
50,4.0,570,5,2 - 0,570,2,0,2,Crvena zvezda,Liverpool,1,2,1.0,0.0,,29.0,0,
51,4.0,7,13,2 - 0,7,2,0,2,Atlético Madrid,Borussia Dortmund,1,2,1.0,0.0,20.0,18.0,0,
52,4.0,18,3,1 - 1,3,1,1,2,Internazionale,FC Barcelona,0,0,0.5,0.5,15.0,30.0,0,
53,4.0,23,32,2 - 1,23,2,1,3,Tottenham Hotspur,PSV Eindhoven,1,1,0.6666666666666666,0.3333333333333333,26.0,6.0,0,
54,4.0,16,8,1 - 1,8,1,1,2,Napoli,Paris Saint-Germain,0,0,0.5,0.5,18.0,19.0,0,
55,4.0,51,64,2 - 0,51,2,0,2,Schalke 04,Galatasaray,1,2,1.0,0.0,17.0,8.0,0,
56,4.0,12,74,4 - 1,12,4,1,5,FC Porto,Lokomotiv Moscow,1,3,0.8,0.2,23.0,6.0,0,
57,4.0,62,14,1 - 2,14,1,2,3,CSKA Moscow,AS Roma,0,-1,0.3333333333333333,0.6666666666666666,9.0,17.0,0,
58,4.0,63,55,3 - 1,63,3,1,4,Valencia,Young Boys,1,2,0.75,0.25,23.0,7.0,0,
59,4.0,20,17,1 - 1,17,1,1,2,Benfica,Ajax,0,0,0.5,0.5,17.0,27.0,0,
60,4.0,2,134,2 - 0,2,2,0,2,Bayern München,AEK Athens,1,2,1.0,0.0,20.0,4.0,0,
61,4.0,4,21,6 - 0,4,6,0,6,Manchester City,Shakhtar Donetsk,1,6,1.0,0.0,25.0,10.0,0,
62,4.0,27,111,2 - 2,111,2,2,4,Olympique Lyon,1899 Hoffenheim,0,0,0.5,0.5,17.0,7.0,0,
63,4.0,60,1,0 - 5,1,0,5,5,Viktoria Plzen,Real Madrid,0,-5,0.0,1.0,11.0,19.0,0,
64,4.0,6,11,1 - 2,11,1,2,3,Juventus,Manchester United,0,-1,0.3333333333333333,0.6666666666666666,21.0,19.0,0,
65,5.0,134,17,0 - 2,17,0,2,2,AEK Athens,Ajax,0,-2,0.0,1.0,4.0,27.0,0,
66,5.0,62,60,1 - 2,60,1,2,3,CSKA Moscow,Viktoria Plzen,0,-1,0.3333333333333333,0.6666666666666666,9.0,11.0,0,
67,5.0,2,20,5 - 1,2,5,1,6,Bayern München,Benfica,1,4,0.8333333333333334,0.16666666666666666,20.0,17.0,0,
68,5.0,27,4,2 - 2,4,2,2,4,Olympique Lyon,Manchester City,0,0,0.5,0.5,17.0,25.0,0,
69,5.0,111,21,2 - 3,21,2,3,5,1899 Hoffenheim,Shakhtar Donetsk,0,-1,0.4,0.6,7.0,10.0,0,
70,5.0,14,1,0 - 2,1,0,2,2,AS Roma,Real Madrid,0,-2,0.0,1.0,17.0,19.0,0,
71,5.0,6,63,1 - 0,6,1,0,1,Juventus,Valencia,1,1,1.0,0.0,21.0,23.0,0,
72,5.0,11,55,1 - 0,11,1,0,1,Manchester United,Young Boys,1,1,1.0,0.0,19.0,7.0,0,
73,5.0,7,37,2 - 0,7,2,0,2,Atlético Madrid,AS Monaco,1,2,1.0,0.0,20.0,5.0,0,
74,5.0,74,64,2 - 0,74,2,0,2,Lokomotiv Moscow,Galatasaray,1,2,1.0,0.0,6.0,8.0,0,
75,5.0,13,31,0 - 0,31,0,0,0,Borussia Dortmund,Club Brugge,0,0,,,18.0,11.0,1,31.0
76,5.0,23,18,1 - 0,23,1,0,1,Tottenham Hotspur,Internazionale,1,1,1.0,0.0,26.0,15.0,0,
77,5.0,32,3,1 - 2,3,1,2,3,PSV Eindhoven,FC Barcelona,0,-1,0.3333333333333333,0.6666666666666666,6.0,30.0,0,
78,5.0,16,570,3 - 1,16,3,1,4,Napoli,Crvena zvezda,1,2,0.75,0.25,18.0,,0,
79,5.0,8,5,2 - 1,8,2,1,3,Paris Saint-Germain,Liverpool,1,1,0.6666666666666666,0.3333333333333333,19.0,29.0,0,
80,5.0,12,51,3 - 1,12,3,1,4,FC Porto,Schalke 04,1,2,0.75,0.25,23.0,17.0,0,
81,6.0,51,74,1 - 0,51,1,0,1,Schalke 04,Lokomotiv Moscow,1,1,1.0,0.0,17.0,6.0,0,
82,6.0,64,12,2 - 3,12,2,3,5,Galatasaray,FC Porto,0,-1,0.4,0.6,8.0,23.0,0,
