Match Number,Round Number,Home Team,Away Team,Result,Winner,Home Team Goals,Away Team Goals,Match Goals
1,1,Benfica,CSKA Moscow,1 - 2,CSKA Moscow,1,2,3
2,1,Manchester United,FC Basel,3 - 0,Manchester United,3,0,3
13,1,Bayern München,Anderlecht,3 - 0,Bayern Munich,3,0,3
14,1,Celtic,Paris Saint-Germain,0 - 5,Paris Saint-Germain,0,5,5
25,1,Chelsea,Qarabag FK,6 - 0,Chelsea,6,0,6
26,1,AS Roma,Atlético Madrid,0 - 0,Atlético Madrid,0,0,0
37,1,FC Barcelona,Juventus,3 - 0,Barcelona,3,0,3
38,1,Olympiakos Piraeus,Sporting CP Lisbon,2 - 3,Sporting CP,2,3,5
49,1,NK Maribor,Spartak Moscow,1 - 1,Spartak Moscow,1,1,2
50,1,Liverpool,Sevilla,2 - 2,Sevilla,2,2,4
61,1,Feyenoord,Manchester City,0 - 4,Manchester City,0,4,4
62,1,Shakhtar Donetsk,Napoli,2 - 1,Shakhtar Donetsk,2,1,3
73,1,RB Leipzig,AS Monaco,1 - 1,Monaco,1,1,2
74,1,FC Porto,Besiktas,1 - 3,Besiktas,1,3,4
85,1,Real Madrid,APOEL Nicosia,3 - 0,Real Madrid,3,0,3
86,1,Tottenham Hotspur,Borussia Dortmund,3 - 1,Tottenham Hotspur,3,1,4
51,2,Sevilla,NK Maribor,3 - 0,Sevilla,3,0,3
52,2,Spartak Moscow,Liverpool,1 - 1,Liverpool,1,1,2
63,2,Napoli,Feyenoord,3 - 1,Napoli,3,1,4
64,2,Manchester City,Shakhtar Donetsk,2 - 0,Manchester City,2,0,2
75,2,Besiktas,RB Leipzig,2 - 0,Besiktas,2,0,2
76,2,AS Monaco,FC Porto,0 - 3,Porto,0,3,3
87,2,Borussia Dortmund,Real Madrid,1 - 3,Real Madrid,1,3,4
88,2,APOEL Nicosia,Tottenham Hotspur,0 - 3,Tottenham Hotspur,0,3,3
27,2,Qarabag FK,AS Roma,1 - 2,Roma,1,2,3
3,2,FC Basel,Benfica,5 - 0,Basel,5,0,5
4,2,CSKA Moscow,Manchester United,1 - 4,Manchester United,1,4,5
15,2,Paris Saint-Germain,Bayern München,3 - 0,Paris Saint-Germain,3,0,3
16,2,Anderlecht,Celtic,0 - 3,Celtic,0,3,3
28,2,Atlético Madrid,Chelsea,1 - 2,Chelsea,1,2,3
39,2,Sporting CP Lisbon,FC Barcelona,0 - 1,Barcelona,0,1,1
40,2,Juventus,Olympiakos Piraeus,2 - 0,Juventus,2,0,2
53,3,Spartak Moscow,Sevilla,5 - 1,Spartak Moscow,5,1,6
54,3,NK Maribor,Liverpool,0 - 7,Liverpool,0,7,7
65,3,Manchester City,Napoli,2 - 1,Manchester City,2,1,3
66,3,Feyenoord,Shakhtar Donetsk,1 - 2,Shakhtar Donetsk,1,2,3
77,3,AS Monaco,Besiktas,1 - 2,Besiktas,1,2,3
78,3,RB Leipzig,FC Porto,3 - 2,RB Leipzig,3,2,5
89,3,APOEL Nicosia,Borussia Dortmund,1 - 1,Borussia Dortmund,1,1,2
90,3,Real Madrid,Tottenham Hotspur,1 - 1,Tottenham Hotspur,1,1,2
29,3,Qarabag FK,Atlético Madrid,0 - 0,Atlético Madrid,0,0,0
5,3,CSKA Moscow,FC Basel,0 - 2,Basel,0,2,2
6,3,Benfica,Manchester United,0 - 1,Manchester United,0,1,1
17,3,Anderlecht,Paris Saint-Germain,0 - 4,Paris Saint-Germain,0,4,4
18,3,Bayern München,Celtic,3 - 0,Bayern Munich,3,0,3
30,3,Chelsea,AS Roma,3 - 3,Roma,3,3,6
41,3,Juventus,Sporting CP Lisbon,2 - 1,Juventus,2,1,3
42,3,FC Barcelona,Olympiakos Piraeus,3 - 1,Barcelona,3,1,4
7,4,FC Basel,CSKA Moscow,1 - 2,CSKA Moscow,1,2,3
8,4,Manchester United,Benfica,2 - 0,Manchester United,2,0,2
19,4,Paris Saint-Germain,Anderlecht,5 - 0,Paris Saint-Germain,5,0,5
20,4,Celtic,Bayern München,1 - 2,Bayern Munich,1,2,3
31,4,Atlético Madrid,Qarabag FK,1 - 1,Qarabag,1,1,2
32,4,AS Roma,Chelsea,3 - 0,Roma,3,0,3
43,4,Sporting CP Lisbon,Juventus,1 - 1,Juventus,1,1,2
