Match Number,Round Number,Home Team,Away Team,Winner,Home Team Goals,Away Team Goals,Match Goals
1,1,Zenit St. Petersburg,Club Brugge,Club Brugge,1,2,3
2,1,Dynamo Kyiv,Juventus,Juventus,0,2,2
3,1,Rennes,Krasnodar,Krasnodar,1,1,2
4,1,Chelsea,Sevilla,Sevilla,0,0,0
5,1,Lazio,Borussia Dortmund,Lazio,3,1,4
6,1,FC Barcelona,Ferencváros,Barcelona,5,1,6
7,1,Paris,Manchester United,Man. United,1,2,3
8,1,Leipzig,Istanbul Basaksehir,Leipzig,2,0,2
9,1,Salzburg,Lokomotiv Moskva,Lokomotiv Moskva,2,2,4
10,1,Real Madrid,Shakhtar Donetsk,Shakhtar Donetsk,2,3,5
11,1,Bayern München,Atlético Madrid,Bayern,4,0,4
12,1,Internazionale,Borussia Mönchengladbach,Mönchengladbach,2,2,4
13,1,Olympiacos,Marseille,Olympiacos,1,0,1
14,1,Manchester City,FC Porto,Man. City,3,1,4
15,1,Ajax,Liverpool,Liverpool,0,1,1
16,1,Midtjylland,Atlantas Klaipeda,Atalanta,0,4,4
17,2,Lokomotiv Moskva,Bayern München,Bayern,1,2,3
18,2,Shakhtar Donetsk,Internazionale,Internazionale,0,0,0
19,2,Atlético Madrid,Salzburg,Atlético,3,2,5
20,2,Borussia Mönchengladbach,Real Madrid,Real Madrid,2,2,4
21,2,FC Porto,Olympiacos,Porto,2,0,2
22,2,Marseille,Manchester City,Man. City,0,3,3
23,2,Atlantas Klaipeda,Ajax,Ajax,2,2,4
24,2,Liverpool,Midtjylland,Liverpool,2,0,2
25,2,Krasnodar,Chelsea,Chelsea,0,4,4
26,2,Istanbul Basaksehir,Paris,Paris,0,2,2
27,2,Sevilla,Rennes,Sevilla,1,0,1
28,2,Club Brugge,Lazio,Lazio,1,1,2
29,2,Borussia Dortmund,Zenit St. Petersburg,Dortmund,2,0,2
30,2,Ferencváros,Dynamo Kyiv,Dynamo Kyiv,2,2,4
31,2,Juventus,FC Barcelona,Barcelona,0,2,2
32,2,Manchester United,Leipzig,Man. United,5,0,5
33,3,Lokomotiv Moskva,Atlético Madrid,Atlético,1,1,2
34,3,Shakhtar Donetsk,Borussia Mönchengladbach,Mönchengladbach,0,6,6
35,3,Salzburg,Bayern München,Bayern,2,6,8
36,3,Real Madrid,Internazionale,Real Madrid,3,2,5
