Match Number,Round Number,Home Team,Away Team,Result,Winner,Home Team Goals,Away Team Goals,Match Goals
1,1,Dinamo Zagreb,Chelsea,1 - 0,Dinamo Zagreb,1,0,1
2,1,Dortmund,Copenhagen,3 - 0,Dortmund,3,0,3
3,1,Salzburg,Milan,1 - 1,Milan,1,1,2
4,1,Celtic,Real Madrid,0 - 3,Real Madrid,0,3,3
5,1,Leipzig,Shakhtar Donetsk,1 - 4,Shakhtar Donetsk,1,4,5
6,1,Sevilla,Man City,0 - 4,Man City,0,4,4
7,1,Paris,Juventus,2 - 1,Paris,2,1,3
8,1,Benfica,M. Haifa,2 - 0,Benfica,2,0,2
9,1,Ajax,Rangers,4 - 0,Ajax,4,0,4
10,1,Frankfurt,Sporting CP,0 - 3,Sporting CP,0,3,3
11,1,Napoli,Liverpool,4 - 1,Napoli,4,1,5
12,1,Atlético,Porto,2 - 1,Atlético,2,1,3
13,1,Club Brugge,Leverkusen,1 - 0,Club Brugge,1,0,1
14,1,Barcelona,Plzen,5 - 1,Barcelona,5,1,6
15,1,Inter,Bayern,0 - 2,Bayern,0,2,2
16,1,Tottenham,Marseille,2 - 0,Tottenham,2,0,2
17,2,Plzen,Inter,0 - 2,Inter,0,2,2
18,2,Sporting CP,Tottenham,2 - 0,Sporting CP,2,0,2
19,2,Liverpool,Ajax,2 - 1,Liverpool,2,1,3
21,2,Porto,Club Brugge,0 - 4,Club Brugge,0,4,4
22,2,Leverkusen,Atlético,2 - 0,Leverkusen,2,0,2
23,2,Bayern,Barcelona,2 - 0,Bayern,2,0,2
24,2,Marseille,Frankfurt,0 - 1,Frankfurt,0,1,1
25,2,Milan,Dinamo Zagreb,3 - 1,Milan,3,1,4
26,2,Shakhtar Donetsk,Celtic,1 - 1,Celtic,1,1,2
20,2,Rangers,Napoli,0 - 3,Napoli,0,3,3
27,2,Chelsea,Salzburg,1 - 1,Salzburg,1,1,2
28,2,Real Madrid,Leipzig,2 - 0,Real Madrid,2,0,2
29,2,Man City,Dortmund,2 - 1,Man City,2,1,3
30,2,Copenhagen,Sevilla,0 - 0,Sevilla,0,0,0
31,2,Juventus,Benfica,1 - 2,Benfica,1,2,3
32,2,M. Haifa,Paris,1 - 3,Paris,1,3,4
33,3,Bayern,Plzen,5 - 0,Bayern,5,0,5
34,3,Marseille,Sporting CP,4 - 1,Marseille,4,1,5
35,3,Liverpool,Rangers,2 - 0,Liverpool,2,0,2
36,3,Ajax,Napoli,1 - 6,Napoli,1,6,7
37,3,Porto,Leverkusen,2 - 0,Porto,2,0,2
38,3,Club Brugge,Atlético,2 - 0,Club Brugge,2,0,2
39,3,Inter,Barcelona,1 - 0,Inter,1,0,1
40,3,Frankfurt,Tottenham,0 - 0,Tottenham,0,0,0
41,3,Salzburg,Dinamo Zagreb,1 - 0,Salzburg,1,0,1
42,3,Leipzig,Celtic,3 - 1,Leipzig,3,1,4
43,3,Chelsea,Milan,3 - 0,Chelsea,3,0,3
44,3,Real Madrid,Shakhtar Donetsk,2 - 1,Real Madrid,2,1,3
45,3,Man City,Copenhagen,5 - 0,Man City,5,0,5
46,3,Sevilla,Dortmund,1 - 4,Dortmund,1,4,5
47,3,Juventus,M. Haifa,3 - 1,Juventus,3,1,4
48,3,Benfica,Paris,1 - 1,Paris,1,1,2
49,4,Copenhagen,Man City,0 - 0,Man City,0,0,0
50,4,M. Haifa,Juventus,2 - 0,M. Haifa,2,0,2
51,4,Dinamo Zagreb,Salzburg,1 - 1,Salzburg,1,1,2
52,4,Milan,Chelsea,0 - 2,Chelsea,0,2,2
53,4,Shakhtar Donetsk,Real Madrid,1 - 1,Real Madrid,1,1,2
54,4,Celtic,Leipzig,0 - 2,Leipzig,0,2,2
55,4,Dortmund,Sevilla,1 - 1,Sevilla,1,1,2
56,4,Paris,Benfica,1 - 1,Benfica,1,1,2
57,4,Napoli,Ajax,4 - 2,Napoli,4,2,6
58,4,Atlético,Club Brugge,0 - 0,Club Brugge,0,0,0
59,4,Rangers,Liverpool,1 - 7,Liverpool,1,7,8
60,4,Leverkusen,Porto,0 - 3,Porto,0,3,3
61,4,Barcelona,Inter,3 - 3,Inter,3,3,6
62,4,Plzen,Bayern,2 - 4,Bayern,2,4,6
63,4,Tottenham,Frankfurt,3 - 2,Tottenham,3,2,5
64,4,Sporting CP,Marseille,0 - 2,Marseille,0,2,2
65,5,Salzburg,Chelsea,1 - 2,Chelsea,1,2,3
66,5,Sevilla,Copenhagen,3 - 0,Sevilla,3,0,3
67,5,Dinamo Zagreb,Milan,0 - 4,Milan,0,4,4
68,5,Celtic,Shakhtar Donetsk,1 - 1,Shakhtar Donetsk,1,1,2
69,5,Leipzig,Real Madrid,3 - 2,Leipzig,3,2,5
70,5,Dortmund,Man City,0 - 0,Man City,0,0,0
71,5,Paris,M. Haifa,7 - 2,Paris,7,2,9
72,5,Benfica,Juventus,4 - 3,Benfica,4,3,7
73,5,Club Brugge,Porto,0 - 4,Porto,0,4,4
74,5,Inter,Plzen,4 - 0,Inter,4,0,4
75,5,Napoli,Rangers,3 - 0,Napoli,3,0,3
76,5,Ajax,Liverpool,0 - 3,Liverpool,0,3,3
