Match Number,Round Number,Home Team,Away Team,Result,Winner,Home Team Goals,Away Team Goals,Match Goals
77,5,Atlético,Leverkusen,2 - 2,Leverkusen,2,2,4
78,5,Barcelona,Bayern,0 - 3,Bayern,0,3,3
79,5,Tottenham,Sporting CP,1 - 1,Sporting CP,1,1,2
80,5,Frankfurt,Marseille,2 - 1,Frankfurt,2,1,3
81,6,Porto,Atlético,2 - 1,Porto,2,1,3
82,6,Leverkusen,Club Brugge,0 - 0,Club Brugge,0,0,0
83,6,Liverpool,Napoli,2 - 0,Liverpool,2,0,2
84,6,Rangers,Ajax,1 - 3,Ajax,1,3,4
85,6,Bayern,Inter,2 - 0,Bayern,2,0,2
86,6,Plzen,Barcelona,2 - 4,Barcelona,2,4,6
87,6,Sporting CP,Frankfurt,1 - 2,Frankfurt,1,2,3
88,6,Marseille,Tottenham,1 - 2,Tottenham,1,2,3
89,6,Real Madrid,Celtic,5 - 1,Real Madrid,5,1,6
90,6,Shakhtar Donetsk,Leipzig,0 - 4,Leipzig,0,4,4
91,6,Chelsea,Dinamo Zagreb,2 - 1,Chelsea,2,1,3
92,6,Milan,Salzburg,4 - 0,Milan,4,0,4
93,6,Man City,Sevilla,3 - 1,Man City,3,1,4
94,6,Copenhagen,Dortmund,1 - 1,Dortmund,1,1,2
95,6,Juventus,Paris,1 - 2,Paris,1,2,3
96,6,M. Haifa,Benfica,1 - 6,Benfica,1,6,7
97,R16 Game 1,Milan,Tottenham,1 - 0,Milan,1,0,1
98,R16 Game 1,Paris,Bayern,0 - 1,Bayern,0,1,1
99,R16 Game 1,Club Brugge,Benfica,0 - 2,Benfica,0,2,2
100,R16 Game 1,Dortmund,Chelsea,1 - 0,Dortmund,1,0,1
101,R16 Game 1,Liverpool,Real Madrid,2 - 5,Real Madrid,2,5,7
102,R16 Game 1,Frankfurt,Napoli,0 - 2,Napoli,0,2,2
103,R16 Game 1,Leipzig,Man City,1 - 1,Man City,1,1,2
104,R16 Game 1,Inter,Porto,1 - 0,Inter,1,0,1
105,R16 Game 2,Benfica,Club Brugge,5 - 1,Benfica,5,1,6
106,R16 Game 2,Chelsea,Dortmund,2 - 0,Chelsea,2,0,2
108,R16 Game 2,Bayern,Paris,2 - 0,Bayern,2,0,2
107,R16 Game 2,Tottenham,Milan,0 - 0,Milan,0,0,0
109,R16 Game 2,Man City,Leipzig,7 - 0,Man City,7,0,7
110,R16 Game 2,Porto,Inter,0 - 0,Inter,0,0,0
111,R16 Game 2,Real Madrid,Liverpool,1 - 0,Real Madrid,1,0,1
112,R16 Game 2,Napoli,Frankfurt,3 - 0,Napoli,3,0,3
113,QF Game 1,Benfica,Inter,0 - 2,Inter,0,2,2
114,QF Game 1,Man City,Bayern,3 - 0,Man City,3,0,3
115,QF Game 1,Real Madrid,Chelsea,2 - 0,Real Madrid,2,0,2
116,QF Game 1,Milan,Napoli,1 - 0,Milan,1,0,1
117,QF Game 2,Napoli,Milan,1 - 1,Milan,1,1,2
118,QF Game 2,Chelsea,Real Madrid,0 - 2,Real Madrid,0,2,2
119,QF Game 2,Bayern,Man City,1 - 1,Man City,1,1,2
120,QF Game 2,Inter,Benfica,3 - 3,Benfica,3,3,6
121,SF Game 1,Real Madrid,Man City,1 - 1,Man City,1,1,2
122,SF Game 1,Milan,Inter,0 - 2,Inter,0,2,2
123,SF Game 2,Inter,Milan,1 - 0,Inter,1,0,1
124,SF Game 2,Man City,Real Madrid,4 - 0,Man City,4,0,4
125,Final,Man City,Inter,1 - 0,Man City,1,0,1
